	1_NA_NA_NA_NA_NA_NA_3	2_NA_NA_NA_NA_NA_NA_3	3_NA_NA_NA_NA_NA_NA_2	4_NA_NA_NA_NA_NA_NA_3	5_NA_NA_NA_NA_NA_NA_3	6_NA_NA_NA_NA_NA_NA_3	7_NA_NA_NA_NA_NA_NA_2	8_NA_NA_NA_NA_NA_NA_3	9_NA_NA_NA_NA_NA_NA_3	9_P1_0.33_NA_NA_NA_NA_3	10_NA_NA_NA_NA_NA_NA_2	10_P2_NA_NA_NA_NA_NA_3	10_P3_NA_NA_NA_NA_NA_2	10_P4_NA_NA_NA_NA_NA_2	11_NA_NA_NA_NA_NA_NA_3	11_P1_1.00_NA_NA_NA_NA_3	12_NA_NA_NA_NA_NA_NA_3	12_P5_NA_NA_NA_NA_NA_3	13_NA_NA_NA_NA_NA_NA_3	13_P6_NA_NA_NA_NA_NA_3	14_NA_NA_NA_NA_NA_NA_3	14_P6_NA_NA_NA_NA_NA_3	15_P7_NA_NA_NA_NA_NA_2	15_P8_NA_NA_NA_NA_NA_3	15_NA_NA_NA_NA_NA_NA_3	16_NA_NA_NA_NA_NA_NA_1	16_P9_1.00_NA_NA_NA_NA_1	17_NA_NA_NA_NA_NA_NA_3	17_P5_NA_NA_NA_NA_NA_2	18_NA_NA_NA_NA_NA_NA_3	18_P10_NA_NA_NA_NA_NA_3	19_NA_NA_NA_NA_NA_NA_3	19_P11_1.00_NA_NA_NA_NA_3	20_NA_NA_NA_NA_NA_NA_3	20_P12_1.00_NA_NA_NA_NA_3	21_NA_NA_NA_NA_NA_0.00_5	21_P6_NA_NA_NA_NA_0.33_5	21_P6_NA_NA_NA_NA_2.00_5	22_P13_NA_NA_NA_NA_0.00_5	22_P13_NA_NA_NA_NA_0.67_5	22_P13_NA_NA_NA_NA_2.00_5	23_NA_NA_NA_NA_NA_NA_3	23_NA_NA_NA_G1551_NA_NA_3	23_NA_NA_NA_G1997_NA_NA_3	23_NA_NA_NA_G1551,G1997_NA_NA_3	24_NA_NA_NA_NA_NA_NA_3	24_NA_NA_NA_NA_G529_NA_3	24_NA_NA_NA_NA_G2748_NA_3	24_NA_NA_NA_NA_G1167_NA_3	25_NA_NA_NA_NA_NA_NA_3	25_NA_NA_NA_G1551_NA_NA_3	25_NA_NA_NA_G1997_NA_NA_3	25_NA_NA_NA_G1551,G1997_NA_NA_3
G1	11.2506667	8.8384000	10.0447000	10.1652000	12.0153333	9.5457667	7.9783500	10.4157000	9.6614000	10.5821333	12.0640000	11.2781667	8.3703500	9.7587000	9.2892000	10.6054000	9.6347000	10.1761667	10.1494000	10.8203667	10.6759667	10.7086000	12.3380000	9.2850333	10.1353333	7.6072000	7.6810000	8.8597667	9.2691000	8.8377000	10.6683000	10.6182000	9.6695000	7.2243333	9.4354000	9.5235800	8.8429600	10.8300600	9.5460600	8.9968400	10.3617200	11.1706667	11.2216667	10.0727333	10.6350667	9.0304000	7.0926667	8.9574667	9.1906333	9.7204000	10.2920667	8.1538667	9.8318000
G2	3.3210667	3.5179333	4.5467500	4.7600667	4.7687333	4.8374333	4.5457000	4.7403667	6.1912667	5.1918667	4.6262000	5.7968000	5.2587500	4.1543500	5.0577333	5.1450333	5.1142667	5.1719000	3.7828000	4.6296667	2.7414667	3.4922000	3.4870500	3.7498000	3.5997333	3.3235000	3.4688000	5.2993667	5.2556500	3.4880000	3.3951333	3.4377000	3.3093333	3.3807667	2.4635000	5.5884400	5.6109600	5.2750400	5.2896200	6.0682000	5.5395400	6.9002000	6.5590000	6.4754000	6.4108000	4.6396333	4.7193667	4.7150333	4.8019000	6.2429333	6.2676333	6.6275000	6.2306667
G3	8.4564667	7.3792333	8.6941000	8.4394333	8.8784000	8.4055333	8.7037500	8.6984667	8.7111333	8.7086667	7.5458500	7.9288333	7.4983000	7.1318000	8.6742667	8.9555000	9.0168333	8.9915333	5.8417333	5.8415000	7.0649000	6.1819333	8.4106000	9.2560000	9.8113333	8.8667000	9.2047000	7.4795000	8.1576000	8.9015000	8.9394667	9.0917667	8.9762000	8.6960667	8.2817333	8.8952200	8.9470000	9.1777000	8.7802600	8.5610000	8.9022200	9.4008000	9.4918667	9.2156667	9.5150333	8.2229000	8.4406000	8.4328000	8.5282000	8.9409667	9.0246333	8.9119333	8.9023000
G4	9.9996667	9.5638667	11.1315000	10.9600000	11.0463333	11.1233333	11.0990000	11.0510000	10.4560000	10.1175667	10.8665000	10.6583333	10.5085000	10.3565000	11.1623333	10.9686667	10.5550000	10.6286667	5.3299333	4.3742333	9.4028000	8.7313667	11.0950000	10.8636667	10.8560000	10.9730000	10.3680000	10.3914667	10.4250000	11.0140000	11.0636667	11.0490000	11.0083333	11.0820000	10.0557667	11.2540000	11.1266000	11.0638000	11.4388000	10.5106000	10.8032000	10.2566667	10.1383333	10.2776667	10.2246667	10.9710000	10.9586667	10.9816667	11.0026667	11.0213333	11.1796667	11.0883333	11.2766667
G5	10.7353333	10.5563333	10.1785000	9.7144667	9.8616000	9.7396000	10.4025000	9.9043333	9.9554000	9.5155333	10.5905000	10.2163333	10.6495000	10.5435000	10.0051333	9.6708333	10.0849000	10.1112333	4.9885000	5.5087000	9.9449333	8.0589333	10.7150000	10.9783333	10.3860000	10.6580000	11.1870000	10.0576667	9.6998000	10.6400000	10.6330000	10.5110000	10.6500000	10.6363333	11.9593333	10.2648000	10.0174400	9.7413400	10.1428000	9.3991600	9.6849800	10.1604000	10.3043333	10.2430000	10.2726667	9.8488667	9.8727000	9.8682000	9.8294000	9.5753667	9.6006000	9.5643000	9.7102333
G6	6.9652000	6.8739667	7.3804000	6.0672000	7.8948333	7.3712000	7.4503000	7.5586333	6.9035667	6.4344000	8.1325000	7.7788000	8.1626000	7.2659500	7.5004333	7.5792667	8.2779000	8.3303000	4.8362667	5.1000333	6.2474333	4.5498000	7.9931500	8.4331333	8.2683667	8.2222000	8.4493000	8.0296000	8.1462000	8.3251667	8.4599333	8.5901333	8.3569667	8.1120000	7.6995000	8.4914800	8.4589400	8.2599800	7.6905800	8.3849000	8.3367800	5.1946333	5.3061000	5.0455667	5.3400667	5.9299000	6.1087333	6.2524667	6.7716667	6.0877667	6.4176333	6.2984333	6.3278667
G7	3.2240333	3.3759000	5.9690500	3.9155667	3.9690667	4.2005333	6.3454000	4.1910667	6.7936333	4.3466333	4.2135500	5.1268333	4.4606500	3.7314500	5.0338667	4.9504000	4.5720667	4.9499333	6.4558667	5.0141000	3.6510333	5.9391667	3.1395000	3.2317000	3.0418667	2.9067000	3.1608000	6.4655333	6.2550500	3.0528000	3.0883667	2.9588667	2.9952333	2.9922333	2.6413000	5.7235400	5.5122800	5.1611400	4.8936400	4.6152800	4.3470400	5.2510333	5.5646667	5.2652333	5.1154333	3.5782667	4.0750000	3.9883667	4.1463000	4.2415667	4.5068667	4.3014333	4.3572333
G8	7.0510667	5.4819667	7.1124500	6.6435333	7.3485333	7.2833333	7.1153000	7.3316667	6.6287333	6.1940000	7.4501000	7.5078667	7.7776000	7.1420500	6.4723333	6.5219333	7.6342333	7.3756667	3.1634667	4.2420667	5.6832667	3.6984333	7.1095500	7.3069000	7.3210667	8.0989000	7.8034000	7.2306333	6.5798000	7.8558667	7.7845667	8.1709000	7.9503000	7.8993333	7.6063333	6.8381600	6.8957200	6.7186400	6.7705200	6.9819400	6.7787000	6.1162333	6.5279333	6.2110000	6.4088333	6.6447333	6.9683667	6.8777000	7.0233333	7.1583000	7.4225333	7.3483333	7.2919667
G9	8.0230333	5.5038000	7.5119000	6.9295667	6.2313000	6.4043667	7.2066000	6.5599333	6.8870000	6.5164000	7.9522000	7.7779333	8.0838500	6.4549000	7.3112000	9.0100000	9.0689000	8.0023333	4.9671333	5.6819000	5.1063333	5.1895333	7.9664500	7.7016000	7.7680333	7.3382000	7.0230000	7.7095667	7.0359500	7.6857000	7.6466000	7.7694667	7.6290667	7.2834333	8.4155667	7.8582400	7.7786400	8.2429200	7.3835000	6.7103600	7.7376600	8.3307333	8.5768000	8.0895667	8.6344000	6.9312667	7.0466667	6.9901667	6.7877333	6.8564667	6.9224667	6.9090333	7.1613667
G10	3.5277000	3.3680667	3.9837500	3.9009667	4.1880667	4.0926667	4.1145000	4.0916667	4.7632667	4.1534333	3.6458500	4.5874667	4.3254000	3.6463500	3.9558667	4.5262333	4.3342000	4.3732000	4.6175667	3.9917667	2.6134667	5.1250667	3.1511000	3.3033000	2.9900333	2.8797000	2.7827000	4.7385667	4.4971500	2.8781000	2.8827000	2.8043333	2.7871667	2.7409667	2.3365000	4.5350400	4.5050000	4.5710600	4.7827200	4.4607400	4.3738200	4.6168000	4.6153333	4.5292000	4.5564667	3.8570000	3.7266667	3.8089667	3.9805000	5.0878333	4.8748333	5.0181000	4.9507667
